2019-12-12 22:02:15.003595 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'cvs.bucket.reh' 'key': '5000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,bucketname,containerID,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,key,latency,newcontainer,payload,roundTripTime,runtime,test val,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
0,27,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]0c27e05edced4a61b97baf946372392d,1520275,35,3,0,0,0,1177,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,158,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13613,11,31.12,5000_Sales_Records.csv,17765.27,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},18020.27,255.75,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ef14f5b4-da11-4a46-b76f-8c1b1abaac8a,FF5lrB,85,0,1576209251
0,2,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]10715454892849c7b2229a315ace5fd0,1605780,40,5,0,0,0,1112,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,169,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13391,10,31.3,5000_Sales_Records.csv,18551.2,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},18835.2,284.48,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,05330795-b904-47cb-94db-3d701d567fe3,MVrY3p,94,0,1576208826
0,34,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]2d01eb5c17964778b8d45d795e97ef0c,1573329,45,4,0,0,0,1151,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,200,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13535,11,30.14,5000_Sales_Records.csv,18102.04,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},18414.04,312.05,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,e3a2176b-4713-423b-bf35-11c7697cd706,RNziGi,87,0,1576208987
0,16,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]4229e51b50564d68bd033141fa73a8f3,1264980,33,3,0,0,0,1146,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,171,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13539,11,30.24,5000_Sales_Records.csv,19148.45,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19402.45,254.1,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ffbcd644-27d4-497f-9ef1-259c8f40fb76,L0oQFg,73,0,1576210530
0,5,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]0c27e05edced4a61b97baf946372392d,1520434,34,3,0,0,0,1180,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,158,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13625,12,30.57,5000_Sales_Records.csv,19402.57,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19652.57,250.71,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ef14f5b4-da11-4a46-b76f-8c1b1abaac8a,FF5lrB,85,0,1576209251
0,13,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]2d01eb5c17964778b8d45d795e97ef0c,1573454,33,4,0,0,0,1160,4,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,202,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13558,10,29.71,5000_Sales_Records.csv,19215.51,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19461.51,246.68,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,e3a2176b-4713-423b-bf35-11c7697cd706,RNziGi,87,0,1576208987
0,24,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]2d01eb5c17964778b8d45d795e97ef0c,1573415,35,4,0,0,0,1156,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,201,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13547,10,30.61,5000_Sales_Records.csv,18983.2,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19239.2,256.61,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,e3a2176b-4713-423b-bf35-11c7697cd706,RNziGi,87,0,1576208987
0,4,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]7eb4385aca1a4667a4d7e065ac904479,1627025,35,3,0,0,0,1115,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,168,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13509,9,33.41,5000_Sales_Records.csv,19494.11,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19756.11,262.38,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,fa4fea52-2068-4edd-b033-1c96b5a922e1,3v7pY9,66,0,1576208720
0,22,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]4229e51b50564d68bd033141fa73a8f3,1265016,33,3,0,0,0,1150,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,171,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13550,10,30.25,5000_Sales_Records.csv,19276.21,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19520.21,244.28,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ffbcd644-27d4-497f-9ef1-259c8f40fb76,L0oQFg,73,0,1576210530
0,14,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]7eb4385aca1a4667a4d7e065ac904479,1627063,39,3,0,0,0,1117,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,169,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,13520,11,30.1,5000_Sales_Records.csv,19464.64,0,{'bucketname': 'cvs.bucket.reh'; 'key': '5000_Sales_Records.csv'},19740.64,276.72,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,fa4fea52-2068-4edd-b033-1c96b5a922e1,3v7pY9,66,0,1576208720
