2019-12-13 02:11:53.080461 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'cvs.bucket.reh' 'key': '100_newdata.csv' 'tablename': 'mytable'}]

Raw results of each run:
1_run_id,2_thread_id,bucketname,containerID,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,key,latency,newcontainer,payload,roundTripTime,runtime,test val,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
0,27,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]78e78564a86240958db2c05ce7072b60,2278895,63,4,0,0,0,1474,4,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,531,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,5923,3,29.36,100_newdata.csv,18778.82,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},19128.82,350.31,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,585a8bb8-36d5-4336-99fc-b911634eec69,fSBPBc,316,0,1576220464
0,7,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]0c6ee471e72a44a09f32d3fa5bc241f0,2280710,70,6,0,0,0,1674,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,385,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,6195,4,27.64,100_newdata.csv,19773.4,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},20160.4,387.27,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,94a31839-32c6-4c57-9948-458b704633fc,DzRs2B,174,0,1576220456
0,2,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]0c6ee471e72a44a09f32d3fa5bc241f0,2280845,24,6,0,0,0,1677,1,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,385,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,6200,2,27.82,100_newdata.csv,20213.71,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},20369.71,156.43,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,94a31839-32c6-4c57-9948-458b704633fc,DzRs2B,174,0,1576220456
0,26,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]728a70253170462cafe3f1bc94767549,1575937,164,3,0,0,0,684,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,35,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,1737,5,27.94,100_newdata.csv,18892.36,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},19757.36,865.15,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,ce11e1d2-9cbb-406f-9d80-b4ab51a8c301,cvmNRn,52,0,1576224014
0,45,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]984d461d66ee428fb96ad4b40f610357,445867,161,5,0,0,0,538,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,41,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,1417,5,27.67,100_newdata.csv,18265.99,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},19113.99,848.49,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,d4f20cba-bbf7-4492-bb87-57c5d0d60080,GXEKMI,17,0,1576229668
0,22,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]78e78564a86240958db2c05ce7072b60,2278964,29,4,0,0,0,1479,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,531,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,5927,2,30.61,100_newdata.csv,19793.47,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},19978.47,185.92,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,585a8bb8-36d5-4336-99fc-b911634eec69,fSBPBc,316,0,1576220464
0,38,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]984d461d66ee428fb96ad4b40f610357,446031,94,5,0,0,0,541,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,41,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,1423,2,29.05,100_newdata.csv,18872.91,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},19391.91,519.99,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,d4f20cba-bbf7-4492-bb87-57c5d0d60080,GXEKMI,17,0,1576229668
0,6,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]7d88da2e95c54ba78f82b3f7612a053e,1575554,101,4,0,0,0,584,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,21,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,1147,2,26.3,100_newdata.csv,20004.16,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},20548.16,544.33,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,dc11124a-afcd-4de1-bfd1-bd7d2ef8e098,B5QgEU,64,0,1576224021
0,8,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]984d461d66ee428fb96ad4b40f610357,446277,72,5,0,0,0,546,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,42,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,1425,2,27.59,100_newdata.csv,20936.85,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},21340.85,404.55,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,d4f20cba-bbf7-4492-bb87-57c5d0d60080,GXEKMI,18,0,1576229668
0,48,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]78e78564a86240958db2c05ce7072b60,2279248,85,4,0,0,0,1483,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,532,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,5930,2,28.41,100_newdata.csv,19801.04,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},20269.04,468.88,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,585a8bb8-36d5-4336-99fc-b911634eec69,fSBPBc,316,0,1576220464
0,13,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]984d461d66ee428fb96ad4b40f610357,446373,32,5,0,0,0,550,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,42,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,1427,2,28.07,100_newdata.csv,21270.27,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},21465.27,195.04,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,d4f20cba-bbf7-4492-bb87-57c5d0d60080,GXEKMI,18,0,1576229668
0,39,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]7d88da2e95c54ba78f82b3f7612a053e,1575952,54,4,0,0,0,588,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,22,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,1150,2,26.25,100_newdata.csv,20323.19,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},20632.19,309.5,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,dc11124a-afcd-4de1-bfd1-bd7d2ef8e098,B5QgEU,64,0,1576224021
0,41,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]0c6ee471e72a44a09f32d3fa5bc241f0,2281153,117,6,0,0,0,1679,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,385,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,6203,3,27.96,100_newdata.csv,20186.16,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},20818.16,632.81,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,94a31839-32c6-4c57-9948-458b704633fc,DzRs2B,174,0,1576220456
0,14,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]984d461d66ee428fb96ad4b40f610357,446431,28,5,0,0,0,555,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,42,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,1430,3,26.93,100_newdata.csv,21540.23,0,{'bucketname': 'cvs.bucket.reh'; 'key': '100_newdata.csv'; 'tablename': 'mytable'},21716.23,176.0,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit; Oder Processing Time; Gross Margin,d4f20cba-bbf7-4492-bb87-57c5d0d60080,GXEKMI,18,0,1576229668
