2019-12-13 02:37:23.936847 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'cvs.bucket.reh' 'key': '10000_Sales_Records.csv' 'tablename': 'mytable' 'filterBy': {'Region': ['Australia_and_Oceania'] 'Item_Type': ['Office_Supplies'] 'Sales_Channel': ['Offline'] 'Order_Priority': ['Medium'] 'Country': ['Fiji']} 'aggregateBy': {'max': ['Units_Sold'] 'min': ['Units_Sold'] 'avg': ['Order_Processing_Time' 'Gross_Margin' 'Units_Sold'] 'sum': ['Units_Sold' 'Total_Revenue' 'Total_Profit']}}]

Raw results of each run:
1_run_id,2_thread_id,bucketname,containerID,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,key,latency,newcontainer,payload,roundTripTime,runtime,test val,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
0,1,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]f5bed37b8dc245e4a753accc1db89459,1154917,149,4,0,0,0,137,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,337,45,23.86,10000_Sales_Records.csv,13515.42,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},14538.42,1023.81,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,ba23107b-80ee-41eb-8153-07c847863e6f,QzL55s,27,0,1576227661
0,6,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]47f64cf0daa1421f890058a6329bc4fd,1357635,163,3,0,0,0,150,3,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,5,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,352,44,24.44,10000_Sales_Records.csv,13351.57,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},14454.57,1103.87,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,752aceef-f165-4c05-bbca-a985b01d84db,dwvA5v,41,0,1576226647
0,2,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]33099e37733740a49df5b56fa563d580,1501684,152,5,0,0,0,150,6,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,6,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,351,42,23.59,10000_Sales_Records.csv,13502.4,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},14543.4,1041.65,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,52ccad88-c4ba-44e6-a203-5b1d86f0ace8,KM9kto,36,0,1576225927
0,0,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]68a1622bf11a4fd6b8a885722039e45d,1451703,149,4,0,0,0,155,4,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,7,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,412,44,24.37,10000_Sales_Records.csv,14191.91,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},15227.91,1036.51,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,2d5617cc-6d6d-4aa4-ac03-4f55c69c1d9c,n4Mokw,24,0,1576226177
0,11,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]33099e37733740a49df5b56fa563d580,1501886,141,5,0,0,0,156,4,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,6,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,395,42,24.15,10000_Sales_Records.csv,15138.21,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16132.21,994.99,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,52ccad88-c4ba-44e6-a203-5b1d86f0ace8,KM9kto,36,1,1576225927
0,17,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]36115c8c5c4a447ca71a69b9db2a68bc,207133,145,4,0,0,0,89,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,4,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,336,44,22.69,10000_Sales_Records.csv,15047.37,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16049.37,1002.86,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,7a8e25fa-bca8-4045-b7e9-8896db2a0c4e,ZBiXUi,5,0,1576232402
0,20,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]474412fd32c34296919a9568e699e481,476163,140,2,0,0,0,100,5,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,3,3,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,298,72,21.79,10000_Sales_Records.csv,15067.35,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16046.35,979.25,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,7d5fa2c6-e9a0-4f05-9ed5-1a9bf568c67f,CfGsug,13,0,1576231057
0,14,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]136316b3b4424054907f874fce5e91c4,583380,149,2,0,0,0,99,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,343,43,24.02,10000_Sales_Records.csv,15335.95,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16360.95,1025.64,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,7c35a7be-27d1-46d0-85cc-09d554cee764,vIyEdV,12,1,1576230521
0,48,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]47f64cf0daa1421f890058a6329bc4fd,1357841,148,3,0,0,0,154,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,5,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,397,45,23.57,10000_Sales_Records.csv,13930.82,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},14956.82,1026.82,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,752aceef-f165-4c05-bbca-a985b01d84db,dwvA5v,41,0,1576226647
0,33,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]c41c5ceead184b4ab3ca5785a2492fa6,1109489,140,4,0,0,0,127,4,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,293,45,23.89,10000_Sales_Records.csv,14723.42,0,{'bucketname': 'cvs.bucket.reh'; 'key': '10000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},15702.42,979.14,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,9f022bd8-adeb-4281-bde9-0744ef5c071f,0ItGZF,39,0,1576227891
